timestamp,syscall,file,duration,process
17:24:17.287172,open,/bin/ps,6e-06,ps.2596570
17:24:17.287341,open,/dev/dtracehelper,1.6e-05,ps.2596570
17:24:17.287356,access,/AppleInternal/XBS/.isChrooted,5e-06,ps.2596570
17:24:17.287479,getattrlist,/bin/ps,4e-06,ps.2596570
17:24:17.287482,access,/bin,3e-06,ps.2596570
17:24:17.287484,open,/bin,2e-06,ps.2596570
17:24:17.287490,open,/bin/Info.plist,1e-06,ps.2596570
17:24:17.287695,open,/usr/share/locale/en_US.UTF-8/LC_NUMERIC,2.1e-05,ps.2596570
17:24:17.517460,getattrlist,/System/Volumes/Data/Users/jordanmaglalang/Documents/ibm-hack/fs_usage.log,0.000124,mds.2595871
17:24:17.517533,listxattr,/System/Volumes/Data/Users/jordanmaglalang/Documents/ibm-hack/fs_usage.log,4.7e-05,mds.2595871
17:24:17.517763,getattrlist,/System/Volumes/Data/Users/jordanmaglalang/Documents/ibm-hack/fs_usage.log,0.000188,mds.2595871
17:24:17.519329,open,/System/Volumes/Data/Users/jordanmaglalang/Documents/ibm-hack/fs_usage.log,0.000137,mdworker_shared.2595553
17:24:17.539520,open,/System/Volumes/Data/Users/jordanmaglalang/Documents/ibm-hack/.DS_Store,4.3e-05,mdworker_shared.2595553
17:24:17.540504,getattrlist,/Users/jordanmaglalang/Documents/ibm-hack/fs_usage.log,9.1e-05,mds.2595871
17:24:17.543194,open,/usr/share/tokenizer/ja/dicrc,0.00056,mds_stores.2595630
17:24:17.544017,open,/usr/share/tokenizer/ja/unk.dic,0.000444,mds_stores.2595630
17:24:17.544512,open,/usr/share/tokenizer/ja/char.bin,0.000406,mds_stores.2595630
17:24:17.545096,open,/usr/share/tokenizer/ja/sys.dic,0.000497,mds_stores.2595630
17:24:17.545442,open,/usr/share/tokenizer/ja/matrix.bin,0.00023,mds_stores.2595630
17:24:19.549148,open,/private/var/db/dslocal/nodes/Default/users/root.plist,0.000114,opendirectoryd.2595499
17:24:19.865492,lstat64,/etc/localtime,8.5e-05,launchd.2596209
17:24:19.866999,lstat64,/etc/localtime,6.3e-05,launchd.2595873
17:24:19.867044,lstat64,/etc/localtime,2.2e-05,launchd.2595873
17:24:20.012189,posix_spawn,/bin/sh,0.001141,Code Helper.11507
17:24:20.019086,fsgetpath,/usr/lib/dyld,4.8e-05,bash.2596590
17:24:20.019593,fsgetpath,/usr/lib/dyld,3.6e-05,bash.2596590
17:24:20.019843,fsgetpath,/bin/bash,3.8e-05,bash.2596590
17:24:20.019853,fsgetpath,/usr/lib/dyld,1e-05,bash.2596590
17:24:20.020189,openat,/../../System/Volumes/Preboot/Cryptexes/OS,3.9e-05,bash.2596590
17:24:20.020206,fstatat64,/System/Library/dyld,1.4e-05,bash.2596590
17:24:20.020220,openat,/System/Library/dyld,1.4e-05,bash.2596590
17:24:20.020305,fsgetpath,/System/Volumes/Preboot/Cryptexes/OS/System/Library/dyld/dyld_shared_cache_arm64e,1.4e-05,bash.2596590
17:24:20.020675,stat64,/bin/bash,4.9e-05,bash.2596590
17:24:20.020713,open,/bin/bash,3.8e-05,bash.2596590
17:24:20.020791,open,/bin/bash,2.4e-05,bash.2596590
17:24:20.021268,open,/dev/dtracehelper,7.5e-05,bash.2596590
17:24:20.021329,access,/AppleInternal/XBS/.isChrooted,4e-06,bash.2596590
17:24:20.021912,getattrlist,/bin/bash,1.8e-05,bash.2596590
17:24:20.021924,access,/bin,1e-05,bash.2596590
17:24:20.021932,open,/bin,8e-06,bash.2596590
17:24:20.021962,open,/bin/Info.plist,3e-06,bash.2596590
17:24:20.022343,open,/dev/tty,4e-05,bash.2596590
17:24:20.022676,stat64,/usr/bin/which,1.9e-05,bash.2596590
17:24:20.022687,stat64,/usr/bin/which,7e-06,bash.2596590
17:24:20.023388,execve,/usr/bin/which,0.000691,bash.2596590
17:24:20.023626,fsgetpath,/usr/lib/dyld,2.5e-05,which.2596591
17:24:20.023973,fsgetpath,/usr/lib/dyld,8e-06,which.2596591
17:24:20.024078,fsgetpath,/usr/bin/which,7e-06,which.2596591
17:24:20.024084,fsgetpath,/usr/lib/dyld,6e-06,which.2596591
17:24:20.024160,openat,/../../System/Volumes/Preboot/Cryptexes/OS,1.9e-05,which.2596591
17:24:20.024167,fstatat64,/System/Library/dyld,7e-06,which.2596591
17:24:20.024182,openat,/System/Library/dyld,1.4e-05,which.2596591
17:24:20.024198,fsgetpath,/System/Volumes/Preboot/Cryptexes/OS/System/Library/dyld/dyld_shared_cache_arm64e,5e-06,which.2596591
17:24:20.024402,stat64,/usr/bin/which,2e-05,which.2596591
17:24:20.024429,open,/usr/bin/which,2.7e-05,which.2596591
17:24:20.024470,open,/usr/bin/which,2.3e-05,which.2596591
17:24:20.024890,open,/dev/dtracehelper,4.2e-05,which.2596591
17:24:20.024924,access,/AppleInternal/XBS/.isChrooted,3e-06,which.2596591
17:24:20.025245,getattrlist,/usr/bin/which,1.3e-05,which.2596591
17:24:20.025255,access,/usr/bin,8e-06,which.2596591
17:24:20.025261,open,/usr/bin,6e-06,which.2596591
17:24:20.025277,open,/usr/bin/Info.plist,3e-06,which.2596591
17:24:20.025433,access,/usr/bin/ps,3e-06,which.2596591
17:24:20.025442,access,/bin/ps,8e-06,which.2596591
17:24:20.025453,stat64,/bin/ps,1.2e-05,which.2596591
17:24:20.026263,posix_spawn,/bin/sh,0.000299,Code Helper.11507
17:24:20.028578,fsgetpath,/usr/lib/dyld,1.2e-05,bash.2596593
17:24:20.028897,fsgetpath,/usr/lib/dyld,8e-06,bash.2596593
17:24:20.029042,fsgetpath,/bin/bash,6e-06,bash.2596593
17:24:20.029046,fsgetpath,/usr/lib/dyld,5e-06,bash.2596593
17:24:20.029108,openat,/../../System/Volumes/Preboot/Cryptexes/OS,1.7e-05,bash.2596593
17:24:20.029116,fstatat64,/System/Library/dyld,7e-06,bash.2596593
17:24:20.029125,openat,/System/Library/dyld,9e-06,bash.2596593
17:24:20.029152,fsgetpath,/System/Volumes/Preboot/Cryptexes/OS/System/Library/dyld/dyld_shared_cache_arm64e,5e-06,bash.2596593
17:24:20.029381,stat64,/bin/bash,1.9e-05,bash.2596593
17:24:20.029399,open,/bin/bash,1.8e-05,bash.2596593
17:24:20.029432,open,/bin/bash,1.6e-05,bash.2596593
17:24:20.029764,open,/dev/dtracehelper,3.5e-05,bash.2596593
17:24:20.029794,access,/AppleInternal/XBS/.isChrooted,3e-06,bash.2596593
17:24:20.030131,getattrlist,/bin/bash,9e-06,bash.2596593
17:24:20.030137,access,/bin,6e-06,bash.2596593
17:24:20.030143,open,/bin,6e-06,bash.2596593
17:24:20.030158,open,/bin/Info.plist,2e-06,bash.2596593
17:24:20.030391,open,/dev/tty,2.5e-05,bash.2596593
17:24:20.030481,open,/usr/share/locale/en_US.UTF-8/LC_NUMERIC,7.8e-05,bash.2596593
17:24:20.031572,getattrlist,/bin/bash,9e-06,bash.2596593
17:24:20.031578,access,/bin,6e-06,bash.2596593
17:24:20.031587,open,/bin,8e-06,bash.2596593
